Deer_ID,Status,COD,Mortality,Censor,Removed_from_study_date,Date,#_Magnets_Removed,Collar_Frequency,Collar_Picture_Taken,Collar_ID_Iridium,Pregnant?,Preg_determined,PSPB,VIT_ID_Iridium,VIT_Frequency,VIT_antenna_out_cm,ISTAT_ID,Sex,Age,Weight,Left_Ear_Tag_Color_#,Right_Ear_Tag_Color_#,Left_Metal_Ear_Tag,Right_Metal_Ear_Tag,Comment
2023_WTD_AMES_01,Presumed mortality 02-12-2023 at 1842,possibly poached,1,,02/12/2023,01/25/2023,1,151.58,Yes,151570,y,PSPB test,,NA,NA,,,F,2,97,orange/081,orange/052,NA,NA,
2023_WTD_AMES_02,Confirmed mortality 03-20-2023 at 1535,coyotes,1,,03/20/2023,01/30/2023,1,151.62,Yes,151574,n ,PSPB test,,NA,NA,,,F,5,114,orange/054,orange/050,NA,NA,
2023_WTD_AMES_03,Last Fix on 05-20-2024,,,1,05/20/2024,02/21/2023,1,151.74,Yes,151586,y,PSPB test,,NA,NA,,,F,4,122,yellow/007,yellow/077,6,5,
2023_WTD_AMES_04,only tagged,,,,NA,02/21/2023,NA,NA,NA,NA,NA,NA,,NA,NA,,,M,1,89,yellow/004,yellow/052,4,3,
2023_WTD_AMES_05,only tagged,,,,NA,02/27/2023,NA,NA,NA,NA,NA,NA,,NA,NA,,,M,2,100,yellow/020,yellow/021,14,13,
2023_WTD_AMES_06,only tagged,,,,NA,02/28/2023,NA,NA,NA,NA,NA,NA,,NA,NA,,,M,1,102,yellow/005,yellow/078,3,3,
2023_WTD_AMES_07,only tagged,Hunter Harvest on 12/19/2024,1,,12/19/2024,02/28/2023,NA,NA,NA,NA,NA,NA,,NA,NA,,,M,2,110,yellow/100,yellow/009,100,9,
2023_WTD_AMES_08,"Collar battery dead, confirmed via VHF (two beeps); Last fix on 06-10-2023",,,1,06/10/2023,03/07/2023,1,151.8,Yes,151592,NA,NA,,NA,NA,,,M,3,140,yellow/016,yellow/091,17,97,
2023_WTD_AMES_09,confirmed mortality on 09/14/23,"unknown; carcass was heavily scavenged and spread through swamp, only hair and some vertebrae found.",1,,09/14/2023,03/08/2023,1,151.7,Yes,151582,n ,PSPB test,,NA,NA,,,F,5,126,yellow/003,yellow/053,7,8,collar was left in truck and not retrieved after truck was returned; last GPS fix on 10/18/2023; we will not have access to store on board data unless collar has another GPS fix and can be retrieved 
2023_WTD_AMES_10,"Collar battery dead, last fix 07/04/23; Shot by hunter on 12/5/2023",shot by hunter on 12/5/2023,,1,07/04/2023,03/25/2023,1,151.85,No,151597,NA,NA,,NA,NA,,A6,M,2,135,yellow/040,yellow/069,77,39,Collar retrieved by TWRA on 12/5/2023
2023_WTD_AMES_11,Last fix on 11-11-2024,,,1,11/11/2024,03/25/2023,1,151.53,Yes,151565,y,PSPB test,,NA,NA,,565,F,2,108,yellow/008,yellow/099,99,10,
2023_WTD_AMES_12,"Collar stopped communicating, last fix 08/10/23",NA,,1,08/10/2023,03/25/2023,1,151.97,No,151609,y,PSPB test,,NA,NA,,,F,3,132,yellow/063,yellow/067,43,44,got buck collar
2023_WTD_AMES_13,Confirmed mortality 04-04-2023 at 1025,possibly capture myopathy,1,,04/04/2023,03/25/2023,1,151.51,Yes,151563,NA,NA,,NA,NA,,563,F,NA,NA,yellow/060,yellow/049,70,61,
2023_WTD_AMES_14,Confirmed mortality 08-08-2024; Mortality date current at date signal was recieved,unknown,1,,08/08/2024,03/25/2023,1,151.71,No,151583,y,PSPB test,,NA,NA,,,F,4,142,yellow/087,yellow/044,53,51,
